Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
3330236,2589,1617.0,106,UPDATE
3330251,2649,1653.0,173,UPDATE
3330253,2039,1273.0,36,UPDATE
3330257,1879,1173.0,130,UPDATE
3330258,2599,1620.0,107,UPDATE
3330260,2589,1617.0,106,UPDATE
3330271,2109,1316.0,36,UPDATE
3330289,2169,1354.0,36,UPDATE
3330307,2079,1298.0,36,UPDATE
3330311,1919,1196.0,130,UPDATE
3330312,2639,1650.0,107,UPDATE
3330314,2639,1647.0,106,UPDATE
3330323,2639,1644.0,173,UPDATE
3330325,2009,1255.0,35,UPDATE
3330329,1869,1163.0,129,UPDATE
3330330,2579,1610.0,107,UPDATE
3330332,2579,1607.0,106,UPDATE
3330341,2639,1648.0,173,UPDATE
3330343,2049,1281.0,35,UPDATE
3330347,1909,1191.0,129,UPDATE
3330348,2629,1643.0,107,UPDATE
3330350,2629,1639.0,106,UPDATE
3330359,2639,1646.0,173,UPDATE
3330361,2089,1305.0,35,UPDATE
3330365,1949,1213.0,129,UPDATE
3330366,2629,1641.0,107,UPDATE
3330368,2619,1637.0,106,UPDATE
3330377,2679,1674.0,173,UPDATE
3330379,2089,1303.0,36,UPDATE
3330383,1989,1240.0,130,UPDATE
3330384,2629,1639.0,107,UPDATE
3330386,2619,1635.0,106,UPDATE
3330433,2029,1264.0,35,UPDATE
3330438,2599,1620.0,107,UPDATE
3330440,2589,1616.0,106,UPDATE
3330509,2599,1622.0,151,UPDATE
3330511,3399,2123.0,47,UPDATE
3330512,4879,3046.0,61,UPDATE
3330513,2389,1488.0,172,UPDATE
3330516,3269,2043.0,64,UPDATE
3330531,2559,1595.0,151,UPDATE
3330533,3339,2087.0,47,UPDATE
3330534,4789,2989.0,61,UPDATE
3330535,2349,1463.0,172,UPDATE
3330538,3209,2006.0,64,UPDATE
3330549,3389,2114.0,47,UPDATE
3330550,4769,2976.0,61,UPDATE
3330554,3189,1992.0,64,UPDATE
3330563,2609,1628.0,151,UPDATE
3330565,3409,2129.0,47,UPDATE
3330566,4889,3053.0,61,UPDATE
3330579,2559,1595.0,151,UPDATE
3330581,3339,2087.0,47,UPDATE
3330582,4789,2989.0,61,UPDATE
3330583,2339,1462.0,172,UPDATE
3330595,2529,1577.0,151,UPDATE
3330597,3309,2063.0,46,UPDATE
3330598,4749,2967.0,61,UPDATE
3330599,2319,1447.0,172,UPDATE
3330602,3179,1986.0,64,UPDATE
3330611,2539,1582.0,151,UPDATE
3330613,3379,2108.0,46,UPDATE
3330614,4759,2973.0,61,UPDATE
3330615,2379,1483.0,172,UPDATE
3330618,3189,1992.0,64,UPDATE
3330627,2529,1578.0,151,UPDATE
3330629,3319,2075.0,46,UPDATE
3330630,4759,2969.0,61,UPDATE
3330631,2319,1448.0,172,UPDATE
3330634,3179,1987.0,64,UPDATE
3330643,2579,1610.0,151,UPDATE
3330645,3369,2106.0,46,UPDATE
3330646,4849,3031.0,61,UPDATE
3330647,2419,1509.0,172,UPDATE
3330650,3249,2030.0,64,UPDATE
3330691,2549,1592.0,151,UPDATE
3330693,3329,2078.0,46,UPDATE
3330694,4779,2984.0,61,UPDATE
3330698,3209,2002.0,64,UPDATE
3330705,4409,2751.0,89,UPDATE
3330710,4879,3044.0,61,UPDATE
3330713,2439,1523.0,89,UPDATE
3330716,5049,3154.0,89,UPDATE
3330735,2759,1721.0,76,UPDATE
3330737,3379,2112.0,85,UPDATE
3330775,2739,1710.0,64,UPDATE
3330777,3369,2101.0,64,UPDATE
3330781,3769,2353.0,64,UPDATE
3330799,2849,1776.0,76,UPDATE
3330823,2759,1725.0,23,UPDATE
3330825,3389,2115.0,23,UPDATE
3330827,3169,1981.0,23,UPDATE
3330828,3419,2135.0,23,UPDATE
3330829,3789,2368.0,23,UPDATE
3330830,5369,3351.0,23,UPDATE
3330862,5629,3515.0,89,UPDATE
3330864,5329,3330.0,89,UPDATE
3331223,3129,1955.0,100,UPDATE
3331224,3399,2124.0,100,UPDATE
3331226,5459,3407.0,98,UPDATE
3331227,2919,1819.0,100,UPDATE
3331229,2919,1822.0,100,UPDATE
3331232,5519,3448.0,100,UPDATE
3331234,5549,3465.0,100,UPDATE
3331315,3079,1923.0,75,UPDATE
3331319,3099,1936.0,75,UPDATE
3331320,3379,2108.0,75,UPDATE
3331322,5429,3389.0,75,UPDATE
3331323,2879,1800.0,75,UPDATE
3331325,2889,1803.0,75,UPDATE
3331328,5509,3443.0,75,UPDATE
3331330,5509,3442.0,75,UPDATE
3331369,3139,1960.0,38,UPDATE
3331370,3669,2292.0,38,UPDATE
3331373,3159,1974.0,38,UPDATE
3331374,3439,2149.0,38,UPDATE
3331375,4139,2587.0,38,UPDATE
3331376,5539,3459.0,38,UPDATE
3331377,2999,1874.0,38,UPDATE
3331378,4009,2502.0,38,UPDATE
3331379,3009,1877.0,38,UPDATE
3331380,3849,2401.0,38,UPDATE
3331381,5409,3381.0,38,UPDATE
3331382,5589,3491.0,38,UPDATE
3331384,5619,3508.0,38,UPDATE
3331601,3519,2198.0,64,UPDATE
3331603,4949,3093.0,64,UPDATE
3331604,6309,3939.0,64,UPDATE
3331685,5279,3300.0,10,UPDATE
3331686,4709,2939.0,10,UPDATE
3331687,4689,2931.0,10,UPDATE
3331689,3579,2232.0,10,UPDATE
3331690,4689,2928.0,10,UPDATE
3331691,5049,3156.0,10,UPDATE
